Command,EntryType,Symbol,Exchange
SUBSCRIBE,[TRADE],BRKM5,BOVESPA
SUBSCRIBE,[TRADE],CSAN3,BOVESPA
SUBSCRIBE,[TRADE],UGPA3,BOVESPA
SUBSCRIBE,[TRADE],AMBV4,BOVESPA
SUBSCRIBE,[TRADE],CRUZ3,BOVESPA
SUBSCRIBE,[TRADE],HGTX3,BOVESPA
SUBSCRIBE,[TRADE],LAME4,BOVESPA
SUBSCRIBE,[TRADE],LREN3,BOVESPA
SUBSCRIBE,[TRADE],NATU3,BOVESPA
SUBSCRIBE,[TRADE],PCAR4,BOVESPA
SUBSCRIBE,[TRADE],RENT3,BOVESPA
SUBSCRIBE,[TRADE],HYPE3,BOVESPA
SUBSCRIBE,[TRADE],KROT11,BOVESPA
SUBSCRIBE,[TRADE],ESTC3,BOVESPA
SUBSCRIBE,[TRADE],AEDU3,BOVESPA
SUBSCRIBE,[TRADE],BBAS3,BOVESPA
SUBSCRIBE,[TRADE],BBDC4,BOVESPA
SUBSCRIBE,[TRADE],ITUB4,BOVESPA
SUBSCRIBE,[TRADE],ITSA4,BOVESPA
SUBSCRIBE,[TRADE],BVMF3,BOVESPA
SUBSCRIBE,[TRADE],CIEL3,BOVESPA
SUBSCRIBE,[TRADE],BRFS3,BOVESPA
SUBSCRIBE,[TRADE],MDIA3,BOVESPA
SUBSCRIBE,[TRADE],JBSS3,BOVESPA
SUBSCRIBE,[TRADE],MRFG3,BOVESPA
SUBSCRIBE,[TRADE],EMBR3,BOVESPA
SUBSCRIBE,[TRADE],LEVE3,BOVESPA
SUBSCRIBE,[TRADE],MYPK3,BOVESPA
SUBSCRIBE,[TRADE],POMO4,BOVESPA
SUBSCRIBE,[TRADE],RAPT4,BOVESPA
SUBSCRIBE,[TRADE],WEGE3,BOVESPA
SUBSCRIBE,[TRADE],ALLL3,BOVESPA
SUBSCRIBE,[TRADE],CCRO3,BOVESPA
SUBSCRIBE,[TRADE],GOLL4,BOVESPA
SUBSCRIBE,[TRADE],OHLB3,BOVESPA
SUBSCRIBE,[TRADE],LLXL3,BOVESPA
SUBSCRIBE,[TRADE],OSXB3,BOVESPA
SUBSCRIBE,[TRADE],ECOR3,BOVESPA
SUBSCRIBE,[TRADE],VALE5,BOVESPA
SUBSCRIBE,[TRADE],VALE3,BOVESPA
SUBSCRIBE,[TRADE],PETR4,BOVESPA
SUBSCRIBE,[TRADE],PETR3,BOVESPA
SUBSCRIBE,[TRADE],OGXP3,BOVESPA
SUBSCRIBE,[TRADE],KLBN4,BOVESPA
SUBSCRIBE,[TRADE],SUZB5,BOVESPA
SUBSCRIBE,[TRADE],FIBR3,BOVESPA
SUBSCRIBE,[TRADE],CYRE3,BOVESPA
SUBSCRIBE,[TRADE],GFSA3,BOVESPA
SUBSCRIBE,[TRADE],RSID3,BOVESPA
SUBSCRIBE,[TRADE],PDGR3,BOVESPA
SUBSCRIBE,[TRADE],MRVE3,BOVESPA
SUBSCRIBE,[TRADE],CSNA3,BOVESPA
SUBSCRIBE,[TRADE],GGBR4,BOVESPA
SUBSCRIBE,[TRADE],GOAU4,BOVESPA
SUBSCRIBE,[TRADE],USIM5,BOVESPA
SUBSCRIBE,[TRADE],VLID3,BOVESPA
SUBSCRIBE,[TRADE],TOTS3,BOVESPA
SUBSCRIBE,[TRADE],POSI3,BOVESPA
SUBSCRIBE,[TRADE],OIBR4,BOVESPA
SUBSCRIBE,[TRADE],TIMP3,BOVESPA
SUBSCRIBE,[TRADE],VIVT4,BOVESPA
SUBSCRIBE,[TRADE],CESP6,BOVESPA
SUBSCRIBE,[TRADE],CMIG4,BOVESPA
SUBSCRIBE,[TRADE],CPLE6,BOVESPA
SUBSCRIBE,[TRADE],ELET6,BOVESPA
SUBSCRIBE,[TRADE],ENBR3,BOVESPA
SUBSCRIBE,[TRADE],LIGT3,BOVESPA
SUBSCRIBE,[TRADE],SBSP3,BOVESPA
SUBSCRIBE,[TRADE],TBLE3,BOVESPA
SUBSCRIBE,[TRADE],ELPL4,BOVESPA
SUBSCRIBE,[TRADE],MPXE3,BOVESPA
SUBSCRIBE,[TRADE],DASA3,BOVESPA
SUBSCRIBE,[TRADE],RADL3,BOVESPA
SUBSCRIBE,[TRADE],ODPV3,BOVESPA
SUBSCRIBE,[TRADE],AMIL3,BOVESPA
SUBSCRIBE,[TRADE],QUAL3,BOVESPA
SUBSCRIBE,[TRADE],IGTA3,BOVESPA
SUBSCRIBE,[TRADE],BRML3,BOVESPA
SUBSCRIBE,[TRADE],MULT3,BOVESPA
SUBSCRIBE,[TRADE],ALSC3,BOVESPA
SUBSCRIBE,[TRADE],BRPR3,BOVESPA
